utterance,role,unix_timestamp
"Turn off the power, wait for the bulb to cool, unscrew the old bulb, and screw in the new one.",assistant,1753377873
how do I change a tire,user,1749344538
"Pull over safely, use jack to lift car, remove lug nuts, replace tire, and tighten lug nuts.",assistant,1749344568
how do I change a tire?,user,1746330850
"Loosen lug nuts, jack up the car, remove flat tire, mount spare, lower car, and tighten lug nuts.",assistant,1746330880
How do I change a tire?,user,1753319927
"Find safe location, engage parking brake, loosen lug nuts, jack up car, replace tire, lower car.",assistant,1753319957
how do I change my car's air filter?,user,1753478517
"Open the hood, locate the air filter housing, remove the old filter, and insert the new one.",assistant,1753478547
how do I change my oil,user,1740439743
"Warm up engine, drain old oil, replace oil filter, refill with new oil, and check level.",assistant,1740439773
how do I change my oil?,user,1742077241
"Lift the car, drain old oil from drain plug, replace oil filter, add new oil, and check levels.",assistant,1742077271
How do I change my oil?,user,1757603015
"Get under the car safely, drain old oil, replace filter, refill with correct oil type and amount.",assistant,1757603045
how do I cook pasta,user,1747746441
"Boil salted water, add pasta, cook according to package time, drain, and serve with sauce.",assistant,1747746471
How do I cook rice properly?,user,1745446661
"Use 2:1 water to rice ratio, bring to boil, reduce heat, simmer covered for 18 minutes, let rest.",assistant,1745446691
